City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Niwot, Colorado",Colorado,3773,50.3,60.8,18.5,14.0,1.6,5.2,141621,81.2,868400,1395,0,3
"Northglenn, Colorado",Colorado,37953,71.1,32.4,14.8,21.0,12.5,19.2,79530,58.4,440900,1778,7,0
"North La Junta, Colorado",Colorado,512,66.3,16.7,45.4,12.3,13.8,11.9,50125,50.4,106900,969,3,4
"Norwood, Colorado",Colorado,565,79.8,30.4,30.0,24.4,9.6,5.6,56324,59.8,341800,1357,7,4
"Nucla, Colorado",Colorado,634,42.3,16.5,25.8,21.6,13.4,22.7,44038,72.7,129700,775,9,4
"Oak Creek, Colorado",Colorado,652,73.0,36.1,13.1,13.9,23.5,13.4,88512,66.2,377400,1167,2,0
"Olathe, Colorado",Colorado,1788,51.5,15.6,13.1,14.4,17.2,39.7,65170,65.1,226900,962,9,5
"Olney Springs, Colorado",Colorado,550,53.9,23.7,17.0,6.6,46.9,5.8,52031,79.7,98700,975,1,6
"Ophir, Colorado",Colorado,144,98.3,63.4,12.5,2.7,2.7,18.8,125938,69.5,875000,1188,0,3
"Orchard City, Colorado",Colorado,3193,54.8,21.7,13.5,23.9,18.6,22.3,65282,83.1,286500,1511,4,0
"Orchard Mesa, Colorado",Colorado,6597,58.6,24.8,9.2,28.7,16.1,21.2,76173,84.8,304200,1588,2,0
"Ordway, Colorado",Colorado,1718,39.0,43.5,13.6,19.6,6.6,16.7,55313,62.1,99200,1045,5,2
"Otis, Colorado",Colorado,582,56.1,28.0,19.4,19.9,16.6,16.1,52237,67.9,151400,875,8,4
"Ouray, Colorado",Colorado,1031,58.5,59.8,16.0,22.3,1.9,0.0,76458,70.7,549200,962,5,0
"Ovid, Colorado",Colorado,378,57.9,35.9,12.6,11.4,10.8,29.3,40000,75.0,98600,697,9,4
"Pagosa Springs, Colorado",Colorado,1718,65.0,24.6,22.1,28.8,19.0,5.5,36712,47.6,353800,1068,8,4
"Palisade, Colorado",Colorado,2580,64.7,29.0,8.2,33.5,7.1,22.1,61655,69.9,295200,1136,4,0
"Palmer Lake, Colorado",Colorado,2635,66.7,44.1,21.5,22.5,4.0,8.0,122855,88.2,454000,1913,0,0
"Paonia, Colorado",Colorado,1454,51.3,59.8,12.5,2.9,6.2,18.6,52466,60.2,301300,799,5,2
